KIC;Kpmag;QLen;DLen;numax;e_numax;Delnu;e_Delnu;A;e_A;Width;e_Width;Gran;e_Gran;Teff;e_Teff;logg;e_log(g);[Fe/H];e_[Fe/H];NoCorM;e_NoCorM;NoCorR;e_NoCorR;RGBcorM;e_RGBcorM;RGBcorR;e_RGBcorR;ClcorM;e_ClcorM;ClcorR;e_ClcorR;Phase;M17;Simbad;_RA;_DE
 1296179;13.280;17;1308.70; 41.82; 1.25; 4.520; 0.031; 61.0;  4.8; 14.3; 1.6;   1837.3;   230.3;5250;158; 2.549; 0.015;-0.13; 0.30; 1.71; 0.19;11.53; 0.45; 1.76; 0.19;11.67; 0.45; 1.75; 0.19;11.66; 0.45;2;M17;Simbad;291.7089500;+36.9197811
 1296507;12.840;17;1308.70;126.62; 2.42;10.333; 0.019; 21.7;  1.3; 39.9;10.7;     57.2;     6.3;4934; 80; 3.016; 0.010; 0.04; 0.15; 1.59; 0.11; 6.47; 0.16; 1.53; 0.11; 6.35; 0.16; 1.61; 0.12; 6.52; 0.17;1;M17;Simbad;291.7838400;+36.9560319
 1297272;13.810;15;1211.90; 31.79; 1.42; 4.240; 0.034;115.7;  6.0; 15.3; 8.3;   6511.9;   543.2;4825; 80; 2.411; 0.020;-0.35; 0.15; 0.86; 0.12; 9.54; 0.48; 0.79; 0.11; 9.15; 0.46; 0.86; 0.12; 9.56; 0.48;2;M17;Simbad;291.9512600;+36.9980389
 1429497;13.537;18;1318.12;234.61; 3.17;16.733; 0.070;     ;     ;     ;    ;         ;        ;5018; 80; 3.288; 0.008;-0.28; 0.15; 1.51; 0.09; 4.61; 0.10; 1.44; 0.09; 4.51; 0.10; 1.54; 0.10; 4.67; 0.11;1;M17;Simbad;290.7351100;+37.0730019
 1429505;11.960;18;1318.10; 55.78; 0.50; 5.755; 0.010; 88.6;  3.6; 17.3; 0.8;   1139.2;    64.4;4685; 80; 2.649; 0.007;-0.03; 0.15; 1.30; 0.07; 8.96; 0.17; 1.18; 0.06; 8.50; 0.16; 1.31; 0.07; 8.97; 0.17;1;M17;Simbad;290.7370000;+37.0368189
 1429629;15.190;17;1308.70; 63.33; 0.79; 6.263; 0.013; 88.7;  5.7; 15.7; 2.8;   1630.9;    96.1;4261;128; 2.684; 0.010;-0.46; 0.30; 1.18; 0.08; 8.19; 0.20; 1.02; 0.07; 7.62; 0.19; 1.14; 0.08; 8.04; 0.20;1;M17;Simbad;290.7653200;+37.0823519
 1430118;13.520;18;1318.10;160.91; 0.95;13.320; 0.018; 47.5;  2.4; 41.4; 2.2;     50.9;    11.9;5070;155; 3.126; 0.008;-0.14; 0.30; 1.23; 0.08; 5.02; 0.11; 1.23; 0.08; 5.03; 0.11; 1.24; 0.08; 5.04; 0.11;1;M17;Simbad;290.8763100;+37.0766600
 1430912;12.790; 6; 457.80; 32.65; 0.72; 3.912; 0.068;118.8;  4.8; 13.7; 1.3;   3971.5;   412.0;4968;162; 2.429; 0.013;-0.01; 0.30; 1.34; 0.15;11.68; 0.54; 1.31; 0.15;11.56; 0.54; 1.35; 0.15;11.76; 0.55;2;M17;Simbad;291.0907900;+37.0455511
 1430985;13.050;18;1318.10;120.79; 0.98;10.448; 0.022; 42.1;  1.3; 37.4; 6.7;     61.8;    10.2;4964; 80; 2.997; 0.007;-0.33; 0.15; 1.33; 0.07; 6.06; 0.11; 1.25; 0.06; 5.88; 0.11; 1.36; 0.07; 6.12; 0.11;1;M17;Simbad;291.1083400;+37.0744900
 1431059;13.120;18;1318.10;171.02; 0.86;13.670; 0.018; 45.0;  2.6; 44.8; 2.5;     81.7;    28.2;4829; 80; 3.142; 0.006; 0.15; 0.15; 1.24; 0.06; 4.94; 0.09; 1.19; 0.06; 4.85; 0.08; 1.25; 0.06; 4.96; 0.09;1;M17;Simbad;291.1278700;+37.0247189
